player_id,full_name,position,nfl_team,headshot_url
00-0036775,Brandon Smith,WR,PIT,
00-0036841,Austin Trammell,WR,JAX,
00-0032569,Wil Lutz,K,DEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vcglg5vsgbiyggwibgy0"
00-0033119,Jacoby Brissett,QB,ARI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qjswiunczrn5xmdiqhlz"
00-0034798,Durham Smythe,TE,BAL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pwcuy1ntmris98x8xmxi"
00-0034827,DJ Moore,WR,BUF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lsavpxtqoqu25emwcnvy"
00-0036906,Khalil Herbert,RB,SF,
00-0034829,Mike Gesicki,TE,CIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dykckg6we3cnw9yhpggi"
00-0034837,Calvin Ridley,WR,TEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zrv8bjm7zdtboyka2jvr"
00-0036924,Michael Carter,RB,TEN,
00-0036928,Kyle Trask,QB,CAR,
00-0034844,Saquon Barkley,RB,PHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcayrzjpura2zydszonh"
00-0036955,Terrace Marshall Jr.,WR,MIA,
00-0036959,Michael Bandy,WR,DEN,
00-0034855,Baker Mayfield,QB,TB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gjb8e69jtt1ffqf1afue"
00-0034857,Josh Allen,QB,BUF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjwbioajzldkq1vzoz2d"
00-0034975,Justice Hill,RB,BAL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fuodbrwvianete2gy5ag"
00-0034981,Foster Moreau,TE,HOU,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/daymhftrwf00siu0iviy"
00-0036741,Jack Stoll,TE,CLE,
00-0035021,Ashton Dulin,WR,IND,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ux55cx0r9iwqwmfmaip6"
00-0035125,Alec Ingold,RB,LAC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/saqgxmq3xrr68byket0r"
00-0035192,Joey Slye,K,TEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qyugyvvddildncveryob"
00-0035208,Olamide Zaccheaus,WR,ATL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zsnzd30ysrewgufbv06y"
00-0035228,Kyler Murray,QB,MIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/btfruyf33adgnjzpcuen"
00-0037011,Tre' McKitty,TE,WAS,
00-0035229,T.J. Hockenson,TE,MIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rs8o65x0u0n9xzde0fd6"
